H2,CO,CO2,Methane,Acetylene,Ethylene,Ethane,Furan,Water,Acid,BDV,DDF1,DDF2,Color,IFT,HI
12.5,555.6,1478.6,6.8,0,0.9,2.3,0,17,0.005,87,0.002,0,0,41,100
16.1,964,2077.4,7,0,1.5,1.7,0.01,10,0.005,68,0.005,0.001,0,33,100
11.5,79.5,522.9,17.2,0,1.1,10.6,0,6,0.005,53,0.002,0,0,29,100
13.9,232.7,753.6,0,0,0.5,0.4,0,8,0.005,89.4,0.002,0,0,36,100
61.9,982.2,5887.7,38.4,0,15.6,8.9,0.57,16,0.198,73,0.113,0.002,3,14,55.95238095
44.2,778.1,5138.9,2.3,0,8.1,3.9,0.32,11,0.046,30,0.054,0.005,3,21,54.76190476
15.6,334.9,659.9,9.6,0,1.6,2,0.08,2,0.005,83,0.03,0.001,0,36,100
11.3,328.8,665.8,11.5,0,4.2,2,0.01,1,0.005,92,0.003,0,0,35,100
15.8,617.4,1357.3,14.2,0,2.2,3.3,0,2,0.005,68,0.001,0,0,31,100
5.5,579.5,1622.8,24,0,0.9,1.5,0.02,1,0.005,32,0.036,0.001,0,36,92.85714286
7.7,524.4,1419.2,16.1,0,1.2,3.7,0.04,5,0.005,81,0.003,0,0,27,100
15.4,790.7,1664.1,10.7,0,0.7,1.8,0,2,0.005,62,0.002,0,0,40,100
22.1,709.7,1623.4,11.8,0,1.5,3.6,0,7,0.005,82.5,0.002,0,0,30,100
65,647.4,2674.7,21.1,0,1.1,2,0.03,6,0.005,62,0.002,0,0,30,100
12,577.6,1462.5,14.9,0,1.2,2.1,0.01,5,0.005,92,0.008,0,0,27,100
14.4,862.1,2620.5,7.6,0,1,1.9,0,9,0.005,60,0.002,0,0,39,100
16.6,857.6,1707.3,11,0,1.3,2,0,3,0.005,53,0.002,0,0,31,100
38.4,500.1,2577.6,39.3,0,4.6,81,0,3,0.005,83,0.004,0,0,34,100
43.2,1285.9,5957.4,19.6,0.7,1.8,1.7,0,5,0.011,83,0.007,0.001,0,34,88.0952381
46.6,1174.1,8012.2,13.5,1.4,2,1.8,0.02,7,0.005,53,0.007,0.001,0,36,76.19047619
12,616.6,1547.8,11.9,0,1.3,2,0.01,3,0.005,80,0.01,0,0,37,100
15.8,1039.2,2016,12,0,1.2,2.4,0.01,7,0.005,89,0.005,0,0,37,100
13.7,638.6,1391.8,9.6,0,1.2,1.7,0.01,5,0.005,83,0.015,0,0,32,100
12,1398.9,3263.3,13.4,0,1.6,2.9,0.01,3,0.005,58,0.001,0,0,38,88.0952381
13.4,815.9,2252.3,10.1,0,1.9,2.9,0.01,6,0.005,86,0.002,0,1,31,100
14.9,480.7,1088.6,13.9,0,2,2.2,0.01,1,0.005,73,0.004,0,0,34,100
5.4,457.7,1080.6,12.8,0,2.1,2.8,0.01,1,0.005,80,0.003,0,0,32,100
19,743.4,2161.1,11.9,0,2.7,3,0,5,0.005,73,0.002,0,0,30,100
15.1,453.4,1812.6,27.9,0,3.3,7.8,0,3,0.005,62,0.003,0,1,32,100
30.5,312,3105.9,15,0,1.2,6.3,0.01,2,0.005,85,0.004,0.001,0,34,100
31.7,319,2273.6,14.5,0,1.2,5.3,0.01,5,0.005,86,0.19,0.001,0,35,100
15.4,345.9,5041,10.2,0,1.4,12.7,0.01,6,0.005,71,0.003,0,0,34,88.0952381
15.8,357.3,3616.6,28.2,0,1.4,10.4,0,2,0.005,65,0.003,0,0,34,100
22.1,401.5,2788,13.7,0,1.1,1.9,0.01,10,0.005,84,0.035,0,0,33,100
6,369.8,2566.3,4.7,0,0.9,1.8,0.01,3,0.005,61,0.03,0,0,29,100
18.2,769.3,4037.9,5.6,0,1.1,3.5,0,13,0.005,65,0.001,0,0,37,88.0952381
16.3,584.3,3092.8,0,0,1.5,3,0,9,0.005,67,0.003,0,0,37,100
25,262.7,1173.3,45.1,0,1.8,53.1,0,8,0.005,52,0.003,0,0,37,100
19.9,424.9,1223.2,33.3,0,2.1,25,0,9,0.005,84.9,0.003,0,0,36,100
19.9,231.2,3122.3,31,0,2.1,26.8,0.01,3,0.005,80,0.006,0,1,32,100
46.3,453.3,4045.8,31,0.5,2.9,10,0.01,4,0.005,71,0.009,0,1,33,100
24,235.9,2914.3,45.5,0,2.6,52.5,0.01,2,0.005,66,0.002,0,1,33,100
24.2,510.5,3694.3,46.2,0,3.7,10.5,0.01,3,0.005,72,0.002,0,1,33,88.0952381
4.1,562.2,5193.2,4.3,0,1.4,3.6,0.069,7,0.015,97,0.021,0.001,3,21,73.80952381
2.4,630.1,6368.9,5.6,0.3,2,4.8,0.93,5,0.024,94,0.032,0.001,3,21,55.95238095
14.2,410.7,5073.1,0,0,1.1,3,0.74,1,0.037,80,0.018,0.002,3,22,55.95238095
15.1,453.1,4472.3,0,0,1.1,2.9,0.94,1,0.033,57,0.024,0.001,3,22,67.85714286
28.8,371.4,1039.4,6.1,0,0.6,6.6,0,6,0.005,65,0.001,0,0,37,100
27.6,525.8,1459.1,0,0,0,0.7,0,4,0.005,99.5,0.001,0,0,38,100
31.4,385.6,1250.1,5.3,0,0.4,0.8,0,4,0.005,57,0.002,0,0,37,100
15.1,480.5,1522.8,11.3,0,1.5,2.4,0.01,1,0.005,78,0.006,0,0,32,100
15.8,468.2,1534.5,0,0,1.6,2.1,0.01,2,0.005,79,0.031,0,0,32,100
22.1,808.3,2144.8,16.5,0,1.8,2.9,0,4,0.005,51,0.001,0,0,33,100
26.4,779.8,2078.8,10,0,1.9,3.4,0,5,0.005,91.9,0.002,0,0,33,100
33.1,708.6,5251.9,15.7,0,6.6,10.7,0.49,10,0.015,60,0.027,0.001,2,28,76.19047619
35.8,846.6,7570,11.5,0,5.9,6,0.84,14,0.031,28,0.024,0.001,1,25,55.95238095
42,829.2,7333.5,11.5,0,6.4,9.5,0.84,20,0.034,29,0.027,0.001,1,25,55.95238095
11.5,367.4,1308.3,5.9,0,0.5,1.3,0.01,5,0.005,84,0.002,0,0,39,100
12.7,278.6,1185.6,0,0,0.4,1.1,0.05,6,0.005,89,0.002,0,0,32,100
10.8,893.1,2320.8,11.5,0,1.1,1.8,0,8,0.005,78.9,0.004,0,0,40,100
11,785.2,2249.8,16.1,0,1.1,1.9,0,7,0.005,64,0.005,0.001,0,31,100
49,204.4,6795.4,54.9,0,3.5,81.8,0.1,14,0.005,93,0.005,0.001,0,32,82.14285714
10.6,97.9,574.3,27.4,0,1.4,30.4,0,5,0.005,66,0.003,0,0,29,100
15.1,88.5,523.8,37.9,0,1.9,45.1,0,5,0.005,73,0.003,0,0,29,100
10.6,100,585.6,3,0,1,0.5,0,6,0.005,88,0.003,0,0,28,100
9.6,659.7,1546.8,9.3,0,1.7,2.2,0.01,2,0.005,87,0.005,0,0,36,100
9.6,659.6,1596.2,11.3,0,1.9,2.7,0.01,3,0.005,96,0.004,0,0,32,100
19,870.4,2467.3,10.4,0,1.7,2.5,0,5,0.005,80,0.002,0,0,36,100
16.3,945.1,2925,0,0,3,5.6,0,9,0.005,74,0.002,0,0,33,88.0952381
24.7,492.3,1441.9,11.6,0,1.1,26.4,0,9,0.005,64,0.006,0.001,0,36,100
31,438.6,1749.7,0,0,0,0,0,14,0.005,76,0.005,0.001,0,35,100
4.3,39.6,330.3,1.2,2.4,2.8,1.4,0.04,1,0.005,77,0.005,0,1,42,100
37.2,287.6,5364.3,28.7,0,2.6,34.9,0,9,0.005,76,0.005,0.001,0,38,88.0952381
25.9,240.5,4202.2,46.3,0,4.6,81.4,0.01,5,0.005,59,0.004,0,1,39,100
13.4,242,4769.1,28.4,0,2.8,45.9,0,3,0.011,86,0,0,0,36,88.0952381
12.2,216,3626,60.5,0,5.9,90.5,0.01,7,0.013,83,0.004,0.002,0,37,100
26.9,1074.6,3378.3,8,0.7,0.8,2.8,0,1,0.005,75,0.003,0,1,40,88.0952381
23.5,1116.8,3266.6,14.9,1.1,6.6,3.8,0.01,7,0.005,73,0.002,0,0,38,88.0952381
38.4,1295.4,3314.6,20.4,0,2.2,3,0,6,0.005,57,0.001,0,0,35,88.0952381
15.4,1322.3,3273.7,11.4,0,9.5,5,0,7,0.005,69,0.001,0,0,32,88.0952381
17,234.3,2578.3,21.5,0,1.8,31.4,0.01,3,0.005,83,0.004,0.001,0,36,100
15.8,220.9,3653.1,23.5,0,1.8,30,0.03,7,0.005,90,0.013,0.001,0,36,100
21.4,215.9,2450.2,30.3,0,2.1,40.4,0.01,9,0.005,87,0.004,0,0,37,100
33.6,227.9,3683.1,34.3,0,2.3,39.8,0.01,7,0.005,74,0.005,0.001,0,37,100
13,412,4762.3,1.8,0,1.8,2.1,0.74,15,0.01,87,0.017,0.001,1,28,70.23809524
13,419.4,4737.3,2.3,0,1.3,2.4,0.68,22,0.013,30,0.018,0.001,1,29,55.95238095
10.3,272.5,1017.8,4.6,0,0.7,0.6,0,18,0.005,53,0.003,0,0,35,100
10.6,150,684.5,7.6,0,1.3,2.1,0,16,0.005,83.6,0.005,0.001,0,35,100
20.2,542.8,2807.7,16.6,0,1.8,2.2,0,6,0.005,81,0.02,0,0,38,100
31.2,856.3,4235.2,9,0,1.1,2.1,0,10,0.005,82.8,0.002,0,0,30,88.0952381
30.2,484,1924,0,0,2.6,1.1,0.02,3,0.005,84,0.047,0,0,39,100
22.6,356.3,1340,3.1,0,2.5,0.8,0.02,1,0.005,83,0.016,0,0,39,100
30.7,839.7,3048.5,11.4,0,3.2,1.4,0.02,5,0.005,76,0.001,0,0,40,100
32.9,663.5,2525,6.9,0,3.4,1.4,0,10,0.005,58,0.001,0,0,39,100
20.4,536.6,2335.2,22.4,0,1.6,2.9,0.03,1,0.005,79,0.036,0,0,37,100
19.9,649.9,2257.5,20.3,0,2,1.4,0,1,0.005,81,0.043,0,0,35,100
54.2,243.3,1219.5,15.1,0,1.1,1.1,0.01,2,0.005,83,0.02,0,0,39,100
27.4,890.4,3554.3,9,0,2,2.1,0,3,0.005,69,0.003,0,0,38,88.0952381
25,1063.5,3498.8,14.2,0,2.1,1.4,0,6,0.005,67,0.002,0,0,35,88.0952381
78.7,480.4,2128.8,2.3,0,3.6,1.8,0,5,0.005,63,0.002,0,0,39,100
36.2,346.7,1379.7,0,0,1.5,1,0.02,2,0.005,79,0.011,0.001,0,36,100
24,274.5,1053.6,0,0,3,1.5,0.03,1,0.005,76,0.017,0,0,31,100
27.8,657.7,2583,5.1,0,2.2,1.7,0.03,5,0.005,68,0.003,0,0,36,100
26.6,614.6,2239.5,9.1,0,4.8,1.7,0.02,4,0.005,77,0.005,0.001,0,36,100
24,361.7,786.9,6.1,0,2,1.1,0,1,0.005,81,0.039,0,0,32,100
28.1,412.4,1233.1,6.1,0,2.4,1.5,0.01,3,0.005,74,0.03,0,0,31,100
16.6,728.5,1602.5,4.8,0,3.5,1.6,0,4,0.005,80,0.002,0,0,33,100
106.6,387.1,2859.3,44.9,0,8.7,91.2,0.01,4,0.005,78,0.011,0,0,31,100
19.7,408.4,3856.7,45.4,0,6.3,65.4,0.01,6,0.005,88,0.049,0,0,31,100
32.2,446.8,3609.4,52.4,0,7.6,81.8,0,4,0.012,69,0.005,0.001,0,31,100
93.8,363.8,3584.8,15,0.5,1.7,6.1,0.01,4,0.005,91,0.09,0.001,0,32,100
95.8,348.9,3394.7,22.5,0,1.5,8,0.01,4,0.005,84,0.007,0.001,0,29,100
24,441,3513.3,13.5,0,1.2,5.7,0,1,0.005,84,0.003,0,0,34,100
25.7,475.1,3619.2,27.7,0,2.4,6.9,0.01,7,0.005,88,0.006,0.001,0,31,100
109.4,437.5,3899.8,47.4,0,10.2,65.5,0,4,0.005,84,0.014,0.001,0,33,100
88.1,561.5,4594.7,61.2,0,10.9,75.3,0.01,5,0.005,82,0.013,0.001,0,30,88.0952381
25.7,444.4,3566.9,51.6,0,9.4,64.5,0,2,0.005,80,0.006,0.001,0,31,100
31.7,571,4070.5,62.7,0,10.9,73.1,0,2,0.005,81,0.007,0,0,32,88.0952381
22.3,406,2780.3,11.4,0,1.3,3.3,0.3,1,0.005,66,0.008,0.001,0,32,88.0952381
38.9,619,2803.4,9.8,0,0.9,3.5,0,6,0.005,79,0.002,0,0,34,100
31.4,504.2,3270.5,22.4,0,1.9,4.6,0.01,5,0.005,77,0.003,0,0,33,100
2.4,301.6,1074.6,7.3,0,0.7,2.1,0.09,1,0.005,75,0.008,0.001,0,31,100
21.8,622.9,2737.4,10.3,0,0.7,2.4,0,5,0.005,83.9,0.002,0,0,34,100
19.4,488.6,1379.3,10.4,0,1,1.8,0,3,0.005,67,0.002,0,0,33,100
2.4,22.6,357.9,37,4.2,97.7,21.7,0.01,6,0.005,97,0.006,0.001,0,32,76.19047619
21.8,272.4,1292.4,6.9,0,1.3,2.5,0,3,0.005,73,0.006,0.001,0,35,100
32.6,164.3,674.7,2.5,0,0.6,9.3,0,10,0.005,97,0.001,0,0,38,100
37.4,406,1206.3,13.6,0,1,5.5,0,4,0.005,72,0.003,0,0,29,100
17.3,452.7,1589.4,10.4,0,1.3,1.8,0.01,4,0.005,90,0.006,0.001,0,31,100
7.7,419.2,1242.6,4.4,0,1.5,3,0.01,2,0.005,85,0.003,0,0,31,100
18.3,771.8,2267.3,14.7,0,2.1,2.6,0,3,0.005,76,0.002,0,0,31,100
12.2,698.7,1813,15.9,0,2.5,3.6,0.01,2,0.005,74,0.002,0,0,32,100
2.4,402.8,1761.8,7.6,0,0.7,2.2,0.01,3,0.005,86,0.002,0,0,40,100
16.8,388.7,1406.9,6.3,0,1.2,1.6,0.04,9,0.005,79,0.004,0,0,40,100
11.5,806.8,2422.9,10.5,0,2.2,3.2,0,4,0.005,72,0.003,0,0,40,100
13.7,838.7,2544.2,9.7,0,1,2.8,0,2,0.005,93.4,0.003,0,0,41,100
24,275.5,4340.9,0.8,12.6,19,6.9,0.77,2,0.074,82,0.031,0.003,2,20,63.0952381
17.8,254.3,3831,3,8.1,12.4,4.6,0.84,4,0.144,63,0.033,0.003,2,19,55.95238095
28.1,553.8,1770.7,17.1,0,1.7,3.6,0,3,0.005,95.5,0.003,0,0,33,100
19.9,694.6,2867.6,10.2,0,1.7,4.5,0,10,0.005,98.5,0.003,0,0,35,100
6.2,22.2,188.5,0.7,0,0,0,0.01,2,0.005,94,0.005,0.001,0,38,100
36,138.5,710,4.9,0,1.3,1,0.04,5,0.005,94,0.003,0,0,39,100
23,420.1,1473,14.7,0,6.6,12.3,0,5,0.005,67,0.003,0,0,37,100
27.8,459.1,1453.3,19.4,0,8.9,14.8,0,5,0.005,92.2,0.003,0,0,37,100
17.4,143,2208.9,0,42.6,6.9,2.1,0.37,3,0.029,82,0.042,0.002,3,18,38.0952381
19.2,237.6,3654.1,2.4,34.8,6.5,2.3,0.54,7,0.042,55,0.042,0.002,3,18,32.14285714
26.6,165,1923.1,0,41,4.8,0.9,0.49,7,0.059,29,0.058,0.006,3,19,30.95238095
12,122.8,2737.7,2,29.2,4.7,2.2,0.39,2,0.025,39,0.032,0.002,3,21,50
7.7,157.8,2899,0,18.9,3.6,2.4,0.37,8,0.012,76,0.029,0.002,2,20,57.14285714
8.9,135.9,2850.4,0,24.2,4.2,1.7,0.49,6,0.048,76,0.035,0.005,2,20,57.14285714
10.6,145.3,2915.1,3.1,31.9,4.7,1.5,0.46,6,0.048,64,0.035,0.004,2,19,45.23809524
6.5,44.5,624.5,8,6.3,31.4,5.2,0.06,3,0.005,51,0.008,0.001,1,40,88.0952381
41.8,97.1,2171.3,3,18.8,4.9,2,0.38,2,0.005,76,0.014,0.001,1,30,64.28571429
51.4,453.8,5505.6,3.9,37,34.5,10.8,0.66,3,0.005,69,0.035,0.003,3,19,32.14285714
10.8,371.3,1527.1,12.5,0,0.7,1.1,0.01,1,0.005,86.9,0.004,0.001,0,33,100
10.1,647.4,1615,13.1,0,1.2,2.1,0,10,0.005,37,0.004,0,0,39,92.85714286
16.3,620.1,1552.4,19.9,0,0.8,2.3,0.02,9,0.005,86,0.003,0.001,0,23,100
13.9,587,1414.2,28.1,0,2,2.4,0.01,6,0.005,85,0.037,0,0,25,100
14.9,931.8,1971.7,18.4,0,1.2,4.8,0,9,0.005,78,0.004,0,0,33,100
13.2,373.1,1364.5,9.2,0,0.5,1.2,0.04,2,0.005,77,0.002,0,0,30,100
63.8,329.5,1337.5,6.3,0,0.5,1,0.03,5,0.005,69,0.027,0.001,0,33,100
10.3,626.7,1582.3,0,0,0.5,1.2,0.01,1,0.005,68,0.001,0,0,41,100
10.8,549.4,1486.1,6,0,0.4,0.9,0.01,3,0.005,70,0.001,0,0,41,100
11,713.9,1803.1,12.6,0,1.3,2.8,0,6,0.011,90.2,0.003,0,0,40,100
11.3,633.1,1688.3,15.7,0,1.1,2.2,0,6,0.013,99.4,0.004,0,0,32,100
19.9,147.9,1539.9,6.9,0,1.2,3.8,0.06,1,0.005,71,0.006,0.001,0,38,100
13.2,208.3,1762.2,4.4,0,1.4,3.4,0.04,6,0.005,83,0.006,0.001,0,38,100
48,337.2,1915.8,5.4,0,1.8,4,0,7,0.005,68,0.004,0,0,38,100
14.9,549.8,2460.2,5.9,0,2,3.9,0,7,0.005,87.3,0.003,0,0,38,100
5,153.3,1850.4,0,0,1.2,2.4,0.23,7,0.037,84,0.042,0.002,3,20,79.76190476
19.4,182.8,2525.7,10.6,15.3,6.2,3,0.4,3,0.038,93,0.037,0.001,3,19,50
7.9,132.5,1770.7,0,0,0.5,0.7,0.28,1,0.133,76,0.048,0.005,3,20,73.80952381
22.6,138,2007.7,3.1,17.9,5.4,1.8,0.44,6,0.07,87,0.04,0.004,3,19,50
25.4,533.2,1454.4,28.8,0,3.6,17.5,0.01,8,0.005,87.8,0.004,0,0,29,100
26.6,592.6,1368.9,5.7,0,2.6,1.5,0,6,0.005,85.4,0.003,0,0,36,100
27.8,551.5,1155.9,5.3,0,2.5,1.2,0,4,0.005,86.1,0.003,0,0,36,100
19.7,343.2,3609.2,14,0,1.2,2.6,0.01,1,0.005,84,0.022,0.001,0,33,100
37.7,307.2,2020,14.3,0,1.3,4,0.01,1,0.005,70,0.023,0.001,0,34,100
28.3,514,3564.1,12.6,0,1.1,2.5,0,8,0.005,80.3,0.005,0.001,0,35,88.0952381
36.5,489.9,2148.4,11.6,0,1.2,3,0,3,0.005,53,0.003,0,0,35,100
34.6,353.3,1375.7,7.7,0,1.3,2.4,0,1,0.005,57,0.013,0,0,33,100
32.6,384.9,1815.5,0,0,1.7,3,0.01,2,0.005,83,0.03,0,0,33,100
45.6,553,2000.9,8.3,0,1.6,2.9,0,6,0.005,56,0.045,0.005,0,34,100
46.3,522,2001.4,13.4,0,2.2,3.5,0,5,0.005,62,0.003,0,0,31,100
65.3,436.8,1754.4,12.1,0,0.9,1.7,0.01,1,0.005,82,0.006,0.001,0,35,100
19.2,408.9,1638.1,7.9,0,0.8,1.5,0.01,1,0.005,78,0.006,0,0,33,100
15.4,698.8,2242.5,10.1,0,1.1,1.8,0,4,0.005,59,0.001,0,0,42,100
18.7,683.2,2096.7,7.5,0,1.1,1.6,0,9,0.005,51,0.001,0,0,40,100
9.1,193.6,1842.1,6,0,1.1,2,0.22,1,0.013,75,0.014,0.001,2,27,94.04761905
19,309.7,2570.6,9.7,0,2.4,2.8,0.26,4,0.024,62,0.023,0.002,2,23,80.95238095
26.2,451.7,3918.1,0,0,2.6,2.9,0.52,7,0.041,66,0.032,0.002,1,22,82.14285714
14.4,1309.3,4801.4,25.4,0,0.8,4.3,0.01,1,0.005,80,0.006,0,0,40,88.0952381
11,249.3,2815,30.4,0,2,31.7,0.01,3,0.005,91,0.011,0.001,0,31,100
15.6,1501.8,5171.7,18.2,0,1.2,4.2,0.01,5,0.005,95.5,0.001,0,0,41,76.19047619
16.1,171,2998.4,52.3,0,3.6,64.7,0.01,8,0.005,53,0.002,0,1,33,100
14.6,250.8,2013.5,3.8,0,1.6,2.1,0.1,9,0.005,32,0.023,0.001,1,31,86.9047619
10.1,208.6,3186.2,0,0,1,1.1,0.23,7,0.024,62,0.016,0.001,1,28,94.04761905
32.2,219,2867.2,37.5,0,2.3,44.9,0,5,0.005,79.2,0.003,0,0,37,100
25.9,200,2021.4,46.9,0,3.1,70.9,0,7,0.005,77,0.003,0,0,37,100
31.2,366.9,4533.9,50.6,0,6.5,60.7,0.02,3,0.005,88,0.018,0.001,0,31,88.0952381
28.6,315.9,3973.6,74.6,0,7.5,76.2,0,13,0.005,56,0.004,0,0,31,100
13.4,774.9,2163,9.2,0,0.7,1.9,0.01,6,0.005,67,0.001,0,0,43,100
11,576.7,1239.1,7.6,0,0.3,1.6,0.01,3,0.005,61,0.002,0,0,42,100
13.2,758.6,2544.3,9.2,0,0.6,2,0,4,0.005,88,0.001,0,0,41,100
14.2,1112.9,2428.8,10.7,0,0,1.5,0,2,0.005,90.3,0.003,0,0,43,88.0952381
10.1,799.7,1672,9.8,0,0,1.1,0,2,0.005,91.6,0.002,0,0,42,100
13.2,1085.7,2960,7.6,0,0.4,2.4,0,3,0.005,78,0.003,0,0,43,88.0952381
11.8,659.9,1975.1,9.2,0,0.5,2.1,0,6,0.005,79,0.001,0,0,41,100
15.1,624.3,1842.5,10.2,0,0.4,2,0,2,0.015,88,0.002,0,0,39,100
11.3,609.1,1727.5,7,0,0.5,2.2,0,5,0.005,60,0.002,0,0,41,100
19,921.6,2305.2,10.5,0,0.5,2,0,9,0.005,54,0.003,0,0,42,100
19.4,943.8,2272.7,8,0,0.7,2.2,0,2,0.005,87,0.001,0,0,42,100
16.1,1024,2198.7,3.9,0,1,1.9,0,3,0.005,87.2,0.001,0,0,39,100
14.4,992.4,2468.3,10.2,0,0.2,1.9,0.01,2,0.005,96,0.001,0,0,41,100
15.6,1019.6,2619.3,14.4,0,0.3,2.5,0.01,3,0.005,99,0.001,0,0,42,100
19.9,1240.8,3323.2,15.6,0,0.4,3,0.01,2,0.005,84,0.001,0,0,43,88.0952381
13.9,1307.2,2798.5,9.5,0,0,1.9,0,2,0.005,92.3,0.002,0,0,42,88.0952381
17.8,1358.5,3053.3,17.2,0,0.5,2.7,0,1,0.005,70,0.002,0,0,34,88.0952381
19,1621.9,3872.7,17.2,0,0.6,2.9,0,1,0.005,84.4,0.002,0,0,40,88.0952381
47.8,420,1606.4,10.6,0,1.8,6.7,0.05,2,0.005,95,0.005,0,0,34,100
40.8,426.8,1592.5,10.7,0,1.4,3.1,0.01,4,0.005,86,0.003,0.001,0,33,100
27.6,428,1510.4,6.8,0,0.8,2.5,0,5,0.005,93,0.003,0,0,34,100
37.2,590.2,1770.9,16.1,0,1.6,8.1,0,3,0.005,67,0.002,0,0,34,100
35.3,604.4,1784.1,16.1,0,1.6,3.8,0,4,0.005,75,0.001,0,0,34,100
35,643.7,1709.2,9.7,0,1.5,4.3,0,7,0.005,95.4,0.002,0,0,34,100
53.3,399.9,1265.8,11,0,1.3,3.8,0,4,0.005,78,0.002,0,0,32,100
63.1,514.9,1548.2,10.3,0,1.4,4.4,0.06,6,0.005,61,0.002,0,0,32,100
58.1,442.8,2028,9.4,0,1.4,1.9,0,5,0.005,86,0.002,0,0,33,100
37.7,497.5,1328.8,11.3,0,1.9,4.3,0,3,0.005,83,0.002,0,0,33,100
41,711,1879,13.3,0,1.9,5.5,0,5,0.005,77,0.001,0,0,32,100
48.5,639.2,2492.4,16.2,0,2,3.1,0,4,0.005,88.1,0.001,0,0,33,100
37.2,210.8,1111.8,19.6,0,3.3,46.8,0,2,0.005,92,0.003,0,0,34,100
46.8,238.4,2429,12.4,0,1.8,9.5,0.01,7,0.005,71,0.003,0.001,0,34,100
66.7,309.5,1122.9,10.5,0,1.8,5.7,0.01,5,0.005,89,0.005,0,0,33,100
13.4,30.5,369.1,3.3,0,0.5,4.9,0,7,0.005,93.5,0.009,0.001,0,34,100
45.6,265.6,2125,17.2,0,2.3,15,0,8,0.005,57,0.002,0,0,33,100
45.1,305.6,1105.1,11.8,0,2.3,9.9,0,5,0.005,78,0.001,0,0,33,100
75.4,317.6,1413.7,10.7,0,1.7,3.7,0.08,10,0.005,75,0.002,0,0,32,100
63.4,384,1420.3,11.6,0,1.7,3.8,0,6,0.005,91,0.007,0,0,32,100
70.3,370.9,1519.8,11.5,0,1.9,4.5,0,5,0.005,93,0.003,0,0,32,100
55,340.9,1432,15.5,0,2,5.6,0,4,0.005,69,0.001,0,0,30,100
46.1,401.5,1447.6,13.2,0,2.5,11.6,0,9,0.005,77,0.002,0,0,30,100
51.6,388.2,1552.5,17.3,0,2.1,9.6,0,2,0.005,80,0.001,0,1,32,100
51.6,274.4,1040,12.2,0,1.9,15.6,0,7,0.005,94,0.004,0,0,31,100
39.4,582.7,1855.9,11,0,2.1,2.7,0,6,0.005,83,0.007,0,0,32,100
70.1,374,1331.6,10.6,0,1.3,3.7,0.01,6,0.005,77,0.003,0,0,31,100
38.2,261,1058.4,20.4,0,2.6,25.5,0,4,0.005,66,0.001,0,0,32,100
36.7,614.5,1964.9,18.2,0,3.1,5.3,0,6,0.005,50,0.002,0,1,33,100
62.9,407.7,1536.8,17.4,0,2.1,10.3,0,6,0.005,52,0.001,0,0,31,100
71.5,429.4,1649.3,9.7,0,0.8,2.5,0.02,8,0.005,91,0.001,0,0,31,100
66,736.8,2571.5,13.6,0,1.3,5.8,0,9,0.005,94,0.003,0,0,31,100
73.7,416.5,1337.6,10.1,0,0.9,4.2,0.03,7,0.005,90,0.002,0.001,0,32,100
52.8,1094.7,3517.6,18.3,0,1.7,7.7,0,6,0.005,68,0.001,0,0,32,88.0952381
34.6,520.7,1678.6,16.1,0,1.4,6.8,0,3,0.005,65,0.001,0,0,33,100
